OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Total_Households,Less_than_10000,i10000_to_14999,i15000_to19999,i20000_to_24999,i25000_to_29999,i30000_to_34999,i35000_to_39999,i40000_to_44999,i45000_to_49999,i50000_to_59999,i60000_to_74999,i75000_to_99999,i100000_to_124999,i125000_to_149999,i150000_to_199999,i200000_or_more,Median_Household_Income,TotalFamilies,FamiliesInPoverty,FamilyPovertyRate,SHAPESTArea,SHAPESTLength
3433,37,119,001200,2,371190012002,Block Group 2,0016155,"Block Group 2, Census Tract 12, Mecklenburg County, North Carolina",434,13,31,0,11,77,0,0,41,0,64,55,57,18,15,37,15,51719,172,0,0,8528629.43027481,13231.2840887562
3434,37,119,002904,4,371190029044,Block Group 4,0016272,"Block Group 4, Census Tract 29.04, Mecklenburg County, North Carolina",395,0,0,0,0,0,0,0,0,0,15,62,19,119,48,81,51,117417,331,0,0,9060765.30674062,14397.9751730169
3435,37,119,005307,2,371190053072,Block Group 2,0016408,"Block Group 2, Census Tract 53.07, Mecklenburg County, North Carolina",497,105,0,40,39,40,59,43,42,18,76,13,20,2,0,0,0,31914,284,104,0.36619718,5912093.85797969,13351.1659645415
3436,37,119,005836,2,371190058362,Block Group 2,0016555,"Block Group 2, Census Tract 58.36, Mecklenburg County, North Carolina",437,21,16,0,0,8,24,8,0,7,13,0,31,76,35,89,109,143281,358,28,0.07821229,12020059.4696729,17518.8360433599
3437,37,119,005514,2,371190055142,Block Group 2,0016435,"Block Group 2, Census Tract 55.14, Mecklenburg County, North Carolina",956,71,20,48,10,86,139,115,14,0,56,115,48,44,73,30,87,39276,546,0,0,17265535.4147773,28853.4691935513
3438,37,119,002002,4,371190020024,Block Group 4,0016234,"Block Group 4, Census Tract 20.02, Mecklenburg County, North Carolina",678,20,0,33,16,0,18,0,8,33,43,87,144,59,102,76,39,92105,281,0,0,6073022.02058809,10829.3617031282
3439,37,119,003500,2,371190035002,Block Group 2,0016336,"Block Group 2, Census Tract 35, Mecklenburg County, North Carolina",598,0,0,0,0,0,0,13,0,10,11,88,58,77,35,67,239,161944,324,0,0,9109046.78757148,13949.738401358
3440,37,119,003015,1,371190030151,Block Group 1,0016298,"Block Group 1, Census Tract 30.15, Mecklenburg County, North Carolina",765,18,0,9,8,72,19,9,8,10,18,45,83,121,99,138,108,121683,549,8,0.01457195,13771453.912801,16338.2705394792
3441,37,119,001606,2,371190016062,Block Group 2,0016180,"Block Group 2, Census Tract 16.06, Mecklenburg County, North Carolina",683,94,88,21,102,0,11,43,9,20,34,75,94,51,25,0,16,37198,351,92,0.26210826,7061130.10810176,11282.3398507905
3442,37,119,005840,1,371190058401,Block Group 1,0016564,"Block Group 1, Census Tract 58.40, Mecklenburg County, North Carolina",865,11,8,6,6,14,39,20,15,36,56,78,110,95,76,169,126,110329,636,0,0,28223415.6678543,24736.3242785563
3443,37,119,000900,1,371190009001,Block Group 1,0016147,"Block Group 1, Census Tract 9, Mecklenburg County, North Carolina",237,30,20,12,0,19,0,13,0,0,16,25,33,5,27,24,13,65329,121,22,0.18181818,6012896.75545234,10879.2128032455
3444,37,119,005617,2,371190056172,Block Group 2,0016481,"Block Group 2, Census Tract 56.17, Mecklenburg County, North Carolina",17,0,0,6,0,0,0,0,0,0,5,0,1,0,1,4,0,56250,10,0,0,23861337.732101,23443.0710661407
3445,37,119,001915,2,371190019152,Block Group 2,0016210,"Block Group 2, Census Tract 19.15, Mecklenburg County, North Carolina",1431,32,109,149,87,183,161,40,109,26,38,226,195,0,0,69,7,33854,707,29,0.04101839,12675944.097384,15685.1671036992
3446,37,119,005837,3,371190058373,Block Group 3,0016558,"Block Group 3, Census Tract 58.37, Mecklenburg County, North Carolina",463,0,0,0,0,0,0,0,0,0,0,68,140,63,37,22,133,107350,406,0,0,6818254.42422051,14276.5427528
3447,37,119,005833,1,371190058331,Block Group 1,0016548,"Block Group 1, Census Tract 58.33, Mecklenburg County, North Carolina",377,0,0,0,0,0,11,9,0,19,34,20,64,37,49,61,73,118281,330,0,0,12332751.6078348,17069.2312281178
3448,37,119,006007,3,371190060073,Block Group 3,0016617,"Block Group 3, Census Tract 60.07, Mecklenburg County, North Carolina",1042,0,0,0,0,67,18,0,0,92,160,63,23,123,195,102,199,117176,715,0,0,35925536.821109,29452.1526534847
3449,37,119,006104,2,371190061042,Block Group 2,0016629,"Block Group 2, Census Tract 61.04, Mecklenburg County, North Carolina",591,36,0,0,40,0,11,86,11,29,0,107,105,38,36,81,11,64279,411,61,0.14841849,71403880.5585836,39097.9273408244
3450,37,119,001917,1,371190019171,Block Group 1,0016215,"Block Group 1, Census Tract 19.17, Mecklenburg County, North Carolina",618,0,54,38,22,7,40,42,63,14,92,64,104,43,11,16,8,52417,487,69,0.14168378,22658966.1294771,20585.1645128339
3451,37,119,003015,3,371190030153,Block Group 3,0016300,"Block Group 3, Census Tract 30.15, Mecklenburg County, North Carolina",347,8,10,13,8,10,11,0,0,10,21,36,58,28,44,45,45,81985,296,19,0.06418919,13925816.8234455,15813.9266530312
3452,37,119,003807,1,371190038071,Block Group 1,0016351,"Block Group 1, Census Tract 38.07, Mecklenburg County, North Carolina",424,8,6,28,57,48,55,12,18,9,17,0,51,49,33,24,9,39583,302,83,0.27483444,23265692.4165865,26257.4421026852
3453,37,119,006302,2,371190063022,Block Group 2,0016664,"Block Group 2, Census Tract 63.02, Mecklenburg County, North Carolina",389,0,0,0,0,15,24,0,0,0,31,29,75,95,42,33,45,103125,347,0,0,51715212.7439303,37378.0566262403
3454,37,119,005845,1,371190058451,Block Group 1,0016575,"Block Group 1, Census Tract 58.45, Mecklenburg County, North Carolina",501,0,0,36,37,21,8,57,11,0,16,45,31,63,59,74,43,89519,285,0,0,10716376.653693,19145.7055059132
3455,37,119,004400,1,371190044001,Block Group 1,0016381,"Block Group 1, Census Tract 44, Mecklenburg County, North Carolina",457,35,16,57,88,0,0,0,167,22,0,72,0,0,0,0,0,40630,370,44,0.11891892,29672633.0410957,28882.0824673616
3456,37,119,005836,1,371190058361,Block Group 1,0016554,"Block Group 1, Census Tract 58.36, Mecklenburg County, North Carolina",792,11,28,75,41,12,5,64,17,24,107,39,129,101,58,53,28,68333,586,78,0.1331058,16509927.983509,19297.5175030289
3457,37,119,000500,1,371190005001,Block Group 1,0016139,"Block Group 1, Census Tract 5, Mecklenburg County, North Carolina",1159,159,116,31,43,0,21,0,0,0,116,218,104,52,186,102,11,66172,158,26,0.16455696,5132124.759325,11228.4937011195
3458,37,119,001911,3,371190019113,Block Group 3,0016202,"Block Group 3, Census Tract 19.11, Mecklenburg County, North Carolina",755,0,68,13,58,8,42,66,40,44,59,77,168,50,37,20,5,55795,505,12,0.02376238,12330069.3885373,17199.3415862991
3459,37,119,005717,2,371190057172,Block Group 2,0016514,"Block Group 2, Census Tract 57.17, Mecklenburg County, North Carolina",416,22,0,11,0,0,22,19,49,31,53,90,57,37,0,25,0,60086,314,11,0.03503185,25073246.6748514,23934.9836056083
3460,37,119,002400,1,371190024001,Block Group 1,0016251,"Block Group 1, Census Tract 24, Mecklenburg County, North Carolina",962,16,49,81,44,10,15,20,19,11,164,72,70,74,86,103,128,69773,230,0,0,5240004.06433066,11820.0639457154
3461,37,119,005514,3,371190055143,Block Group 3,0016436,"Block Group 3, Census Tract 55.14, Mecklenburg County, North Carolina",1234,56,159,0,15,41,38,39,0,130,17,154,183,133,89,86,94,74200,716,22,0.03072626,22366862.2894809,27531.0772570415
3462,37,119,001200,3,371190012003,Block Group 3,0016156,"Block Group 3, Census Tract 12, Mecklenburg County, North Carolina",815,7,28,0,0,14,0,0,53,0,35,13,39,105,91,179,251,150907,457,7,0.01531729,22797516.8283607,22242.7345222328
3463,37,119,005524,3,371190055243,Block Group 3,0016458,"Block Group 3, Census Tract 55.24, Mecklenburg County, North Carolina",816,0,0,41,56,30,93,54,9,19,92,116,190,21,53,42,0,62955,562,100,0.17793594,18043059.8536182,22776.2243370115
3464,37,119,005609,1,371190056091,Block Group 1,0016468,"Block Group 1, Census Tract 56.09, Mecklenburg County, North Carolina",1261,458,58,131,160,33,66,18,35,104,70,34,73,11,10,0,0,19324,183,31,0.16939891,35054606.7979736,27423.7420157215
3465,37,119,006108,2,371190061082,Block Group 2,0016638,"Block Group 2, Census Tract 61.08, Mecklenburg County, North Carolina",740,31,40,0,30,24,10,81,67,20,108,80,56,148,19,12,14,55484,501,41,0.08183633,42777177.7832098,38032.4192315909
3466,37,119,003600,2,371190036002,Block Group 2,0016338,"Block Group 2, Census Tract 36, Mecklenburg County, North Carolina",541,10,8,54,7,68,25,19,28,44,51,27,65,43,27,54,11,51103,75,0,0,12308604.8555682,21121.6396618817
3467,37,119,005605,1,371190056051,Block Group 1,0016465,"Block Group 1, Census Tract 56.05, Mecklenburg County, North Carolina",1254,122,32,0,12,158,194,42,190,28,53,101,138,145,17,22,0,41496,432,0,0,18446539.8589359,18204.3644085716
3468,37,119,005823,4,371190058234,Block Group 4,0016530,"Block Group 4, Census Tract 58.23, Mecklenburg County, North Carolina",1289,16,0,0,0,132,15,72,46,15,85,104,173,144,62,148,277,97038,950,0,0,37617459.1429838,28545.4885944478
3469,37,119,001910,3,371190019103,Block Group 3,0016199,"Block Group 3, Census Tract 19.10, Mecklenburg County, North Carolina",496,23,21,0,31,18,44,29,33,20,77,79,94,17,0,10,0,53311,380,21,0.05526316,9515554.42624473,17437.098259553
3470,37,119,006213,2,371190062132,Block Group 2,0016658,"Block Group 2, Census Tract 62.13, Mecklenburg County, North Carolina",997,0,19,31,20,0,11,0,55,19,0,11,197,151,222,221,40,121827,824,19,0.02305825,53121155.3460307,36380.5508183608
3471,37,119,005909,1,371190059091,Block Group 1,0016592,"Block Group 1, Census Tract 59.09, Mecklenburg County, North Carolina",1609,0,0,0,51,41,65,46,187,15,110,215,248,191,220,170,50,83646,1383,0,0,89572011.1560303,37566.2772186032
3472,37,119,005401,2,371190054012,Block Group 2,0016412,"Block Group 2, Census Tract 54.01, Mecklenburg County, North Carolina",1147,60,120,17,178,214,140,26,41,49,61,96,81,42,0,12,10,29255,632,116,0.1835443,53457346.7652709,37422.0303527196
3473,37,119,006104,4,371190061044,Block Group 4,0016631,"Block Group 4, Census Tract 61.04, Mecklenburg County, North Carolina",667,0,19,12,61,73,36,27,29,40,32,88,76,74,83,17,0,62796,434,0,0,52790500.8372057,32308.5127243723
3474,37,119,004900,1,371190049001,Block Group 1,0016392,"Block Group 1, Census Tract 49, Mecklenburg County, North Carolina",251,14,16,33,38,32,14,4,30,22,0,17,17,4,0,5,5,26914,152,34,0.22368421,9489828.25065332,12506.2768011788
3475,37,119,003805,1,371190038051,Block Group 1,0016346,"Block Group 1, Census Tract 38.05, Mecklenburg County, North Carolina",1267,120,41,31,15,32,17,39,38,53,87,82,308,148,39,161,56,78101,482,19,0.03941909,89004267.9222967,39596.9065987308
3476,37,119,005843,1,371190058431,Block Group 1,0016571,"Block Group 1, Census Tract 58.43, Mecklenburg County, North Carolina",467,19,0,11,0,0,25,11,0,22,42,0,69,46,47,93,82,122604,326,30,0.09202454,20709291.2303199,20852.3275935761
3477,37,119,005914,1,371190059141,Block Group 1,0016602,"Block Group 1, Census Tract 59.14, Mecklenburg County, North Carolina",1313,24,0,21,85,36,49,59,85,37,72,120,206,83,168,145,123,87005,925,0,0,16572590.566874,17040.4779627732
3478,37,119,001510,2,371190015102,Block Group 2,0016175,"Block Group 2, Census Tract 15.10, Mecklenburg County, North Carolina",419,11,30,67,8,47,46,53,11,0,31,55,0,37,16,0,7,37524,269,18,0.0669145,5807319.62018965,9669.93688751295
3479,37,119,005714,3,371190057143,Block Group 3,0016509,"Block Group 3, Census Tract 57.14, Mecklenburg County, North Carolina",481,19,10,8,0,27,0,18,11,8,52,33,42,99,5,107,42,102639,395,29,0.07341772,69509550.9035816,42195.7626883931
3480,37,119,005828,2,371190058282,Block Group 2,0016538,"Block Group 2, Census Tract 58.28, Mecklenburg County, North Carolina",138,0,8,0,0,0,0,0,0,0,0,0,0,0,8,26,96,250000,138,8,0.05797101,4531729.15626328,9936.86161955233
3481,37,119,006210,1,371190062101,Block Group 1,0016651,"Block Group 1, Census Tract 62.10, Mecklenburg County, North Carolina",1039,15,38,10,91,8,43,25,26,55,41,105,105,91,145,108,133,91250,665,8,0.01203008,56711413.4627027,37739.9056926351
3482,37,119,004304,1,371190043041,Block Group 1,0016377,"Block Group 1, Census Tract 43.04, Mecklenburg County, North Carolina",1057,46,156,62,126,86,112,46,30,33,69,94,82,0,43,46,26,31172,706,157,0.2223796,31817374.2946887,23617.7668785071
3483,37,119,002906,1,371190029061,Block Group 1,0016276,"Block Group 1, Census Tract 29.06, Mecklenburg County, North Carolina",496,7,0,9,36,0,0,9,18,16,82,10,95,44,76,27,67,83984,190,7,0.03684211,6905975.47869453,14680.6795231726
3484,37,119,002400,2,371190024002,Block Group 2,0016252,"Block Group 2, Census Tract 24, Mecklenburg County, North Carolina",502,0,12,0,0,20,10,0,39,56,32,18,144,58,9,38,66,81705,185,0,0,4459292.18315098,8904.39727314951
3485,37,119,005621,1,371190056211,Block Group 1,0016489,"Block Group 1, Census Tract 56.21, Mecklenburg County, North Carolina",889,19,17,7,24,0,9,27,41,19,59,116,121,173,138,74,45,84076,648,25,0.03858025,49495378.9485838,31190.0611555898
3486,37,119,000500,2,371190005002,Block Group 2,0016140,"Block Group 2, Census Tract 5, Mecklenburg County, North Carolina",825,91,20,23,0,15,0,11,34,0,91,60,221,145,11,18,85,76406,238,41,0.17226891,7227295.04942598,11847.380271503
3487,37,119,000900,2,371190009002,Block Group 2,0016148,"Block Group 2, Census Tract 9, Mecklenburg County, North Carolina",465,51,31,6,11,18,7,23,18,15,12,56,58,66,17,32,44,72721,214,0,0,6085113.39629687,17004.5995512745
3488,37,119,001508,3,371190015083,Block Group 3,0016171,"Block Group 3, Census Tract 15.08, Mecklenburg County, North Carolina",334,39,0,0,55,44,17,48,32,36,34,29,0,0,0,0,0,38125,263,19,0.07224335,5694228.63306641,12337.8221164691
3489,37,119,001510,1,371190015101,Block Group 1,0016174,"Block Group 1, Census Tract 15.10, Mecklenburg County, North Carolina",785,13,32,82,27,82,51,57,37,25,73,117,107,51,31,0,0,48015,507,27,0.05325444,14006437.8209324,16999.4858913424
3490,37,119,005401,1,371190054011,Block Group 1,0016411,"Block Group 1, Census Tract 54.01, Mecklenburg County, North Carolina",1160,40,17,64,73,53,187,77,114,65,149,100,56,137,0,0,28,43295,597,45,0.07537688,44936481.3690707,33132.1758292068
3491,37,119,004700,1,371190047001,Block Group 1,0016388,"Block Group 1, Census Tract 47, Mecklenburg County, North Carolina",413,88,29,32,23,75,14,28,3,7,6,4,36,21,19,12,16,27934,224,78,0.34821429,12118491.0335385,16434.6316004063
3492,37,119,006209,1,371190062091,Block Group 1,0016648,"Block Group 1, Census Tract 62.09, Mecklenburg County, North Carolina",465,29,36,51,0,0,0,26,0,26,27,8,32,50,20,0,160,92054,287,0,0,12257484.4247314,17551.8226831825
3493,37,119,005911,2,371190059112,Block Group 2,0016596,"Block Group 2, Census Tract 59.11, Mecklenburg County, North Carolina",1104,32,14,0,34,36,0,12,37,35,102,90,71,277,151,162,51,108409,884,44,0.04977376,56935150.1323105,39421.7698199523
3494,37,119,003806,3,371190038063,Block Group 3,0016349,"Block Group 3, Census Tract 38.06, Mecklenburg County, North Carolina",1178,60,5,0,18,26,0,171,65,0,79,144,348,152,95,0,15,76694,537,15,0.02793296,12117029.3769387,16886.3302161279
3495,37,119,006406,2,371190064062,Block Group 2,0016679,"Block Group 2, Census Tract 64.06, Mecklenburg County, North Carolina",334,12,0,0,0,16,0,26,0,39,0,17,33,51,13,55,72,114079,294,12,0.04081633,12048695.5081227,17100.7685453523
3496,37,119,005826,2,371190058262,Block Group 2,0016535,"Block Group 2, Census Tract 58.26, Mecklenburg County, North Carolina",884,41,0,52,8,43,28,39,14,45,81,155,277,40,31,22,8,67944,454,42,0.09251101,28849360.1836197,31080.6159272188
3497,37,119,002100,1,371190021001,Block Group 1,0016243,"Block Group 1, Census Tract 21, Mecklenburg County, North Carolina",420,13,39,41,21,50,12,60,33,13,26,60,21,6,7,0,18,38725,203,70,0.34482759,4328307.67279102,8252.39481716869
3498,37,119,005517,2,371190055172,Block Group 2,0016440,"Block Group 2, Census Tract 55.17, Mecklenburg County, North Carolina",413,0,0,0,16,0,8,0,0,45,8,66,68,119,30,19,34,96563,327,0,0,11207928.5550498,19574.5733542007
3499,37,119,005907,2,371190059072,Block Group 2,0016590,"Block Group 2, Census Tract 59.07, Mecklenburg County, North Carolina",707,0,0,8,0,0,19,35,12,70,74,51,169,156,30,66,17,80694,504,0,0,25557152.1185273,24102.701014127
3500,37,119,001919,1,371190019191,Block Group 1,0016220,"Block Group 1, Census Tract 19.19, Mecklenburg County, North Carolina",559,47,14,49,55,55,71,45,54,25,7,45,39,35,18,0,0,34458,323,82,0.25386997,7302320.41221836,13099.6634580471
3501,37,119,005910,1,371190059101,Block Group 1,0016594,"Block Group 1, Census Tract 59.10, Mecklenburg County, North Carolina",2100,31,32,45,38,83,54,58,103,197,200,378,361,322,65,83,50,68476,1351,4,0.00296077,45339223.8411105,29912.7054215051
3502,37,119,002002,2,371190020022,Block Group 2,0016232,"Block Group 2, Census Tract 20.02, Mecklenburg County, North Carolina",617,0,0,0,16,0,0,16,22,0,40,25,91,22,81,80,224,139696,427,0,0,21878625.8089992,21624.9033492506
3503,37,119,005508,1,371190055081,Block Group 1,0016418,"Block Group 1, Census Tract 55.08, Mecklenburg County, North Carolina",735,0,0,15,19,43,7,0,0,23,49,10,90,147,89,125,118,119263,584,0,0,83220675.4024568,56999.4280739379
3504,37,119,001509,2,371190015092,Block Group 2,0016173,"Block Group 2, Census Tract 15.09, Mecklenburg County, North Carolina",761,56,19,60,84,63,73,92,32,0,78,87,55,13,0,35,14,36012,482,52,0.10788382,31592959.4145852,40530.5952344588
