X,Y,OBJECTID,Item_ID,Updated,Item_Name,Condition,Approximate_value,Stock_Item_or_Custom_Item,FACILITYID,XCoord,YCoord,CategoryMainType,FrontPhoto,BackPhoto,DamagePhoto,GeneralPhoto,LocationPhoto,Artist,TitleOfWork,YearInstalled,ComSource,OwnerPrivate,CommissionAmount,CurrentValue,IntExt,ComSourceOther,Owner
1458105.00021856,491362.000080481,99,497,2013/06/27 00:00:00+00,South County Regional Library,,,,467,1458105.000231,491362.000231,Public Art,,,,,,Jim Hirschfield,untitled,,,,30000,,,,County
1476260.99999572,589174.999992147,100,498,2013/09/13 00:00:00+00,Mallard Creek Community Center,,,,468,1476261,589175,Public Art,,,,,,Heather Hoover,untitled,,,,15750,,,,County
1424391.00038947,589095.000152141,101,499,2013/06/27 00:00:00+00,Latta Equestrian Center,,,,469,1424391.000231,589095.000231,Public Art,,,,,,Paula Garrett,untitled,,,,2500,,,,County
1451057.00020698,542783.000256643,102,500,2013/09/13 00:00:00+00,Bank of America,,,,470,1451057.000231,542783.000231,Public Art,,,,,,Christopher Janney,Touch My Building,,1,Bank of America,,,2,,Private
1446203.00007246,559817.000309303,103,501,2013/09/18 00:00:00+00,Beatties Ford Road health Department,,,,471,1446203.000231,559817.000231,Public Art,,,,,,George Handy,untitled,,,,7500,,,,County
1430146.0000343,542837.000148639,104,502,2013/06/27 00:00:00+00,Adam Service Area Center,,,,472,1430146,542837,Public Art,,,,,,Tommie Robinson,untitled,,,,21000,,1,,City
1444842.99983972,620527.999950066,105,503,2013/06/27 00:00:00+00,North County Regional Library,,,,473,1444843,620528,Public Art,,,,,,Winston Tite,Line Play/Space Traverse,,,,22000,,,,County
1460309.00007564,529587.000073895,106,504,2013/06/27 00:00:00+00,Wallace H. Kuralt Center,,,,474,1460309.000231,529587.000231,Public Art,,,,,,Charlie Newton,untitled,,,,6000,,,,County
1460309.00007564,529587.000073895,107,505,2013/06/27 00:00:00+00,Wallace H. Kuralt Center,,,,475,1460309.000231,529587.000231,Public Art,,,,,,Trena McNabb,At the Ends of the Rainbow,,,,18000,,,,County
1432460.99999747,562995.999856815,108,506,2013/06/27 00:00:00+00,Park and Recreation Administrative Office Building,,,,476,1432461,562996,Public Art,,,,,,Trena McNabb,Playful Equals Healthful,,,,14000,,,,County
1419117.00011072,540413.0000754,109,507,2015/07/08 00:00:00+00,CDI Airport - Central Atrium,,,,477,1419117,540413,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_794.jpg,,,,,George Greenamyer,First in Flight,,,,165000,,1,,City
1446737.35005364,557556.470053479,110,508,2013/06/27 00:00:00+00,Beatties Ford Road Branch Library,,,,478,1446737.35,557556.47,Public Art,,,,,,Charlie Newton,Ripples,,,,10500,,1,,County
1451329.00031914,541075.000391811,111,509,2015/07/08 00:00:00+00,Charlotte-Mecklenburg Police Department,,,,479,1451329.000231,541075.000231,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_795.jpg,,,,,Ben Long,untitled,,,,150000,,1,,City
1447740.00027931,541982.000218228,112,510,2013/06/27 00:00:00+00,Duke Energy Carolinas,,,,480,1447740.000231,541982.000231,Public Art,,,,,,Michael Hayden,Quadrille,,1,Duke Energy,,,2,,Private
1433660.99989405,537206.999925733,113,511,2013/06/27 00:00:00+00,West Boulevard Library,,,,481,1433661,537207,Public Art,,,,,,Tommie Robinson,"Medicine/Health, Science/Technology",,,,10625,,,,County
1460309.00007564,529587.000073895,114,512,2013/06/28 00:00:00+00,Wallace H. Kuralt Centre,,,,482,1460309.000231,529587.000231,Public Art,,,,,,Maryrose Carroll,The Column On The Pond,,,,22500,,2,,County
1450272.00013655,539109.000058725,115,513,2013/06/27 00:00:00+00,Mecklenburg County Aquatic Center,,,,483,1450272,539109,Public Art,,,,,,Paul Rousso,untitled,,,,8500,,,,County
1475527.00015138,524591.999893308,116,514,2013/06/27 00:00:00+00,Independence Regional Library,,,,484,1475527,524592,Public Art,,,,,,Sarah Craige,untitled,,,,9411,,,,County
1460799.00007989,529472.000303894,117,515,2013/06/27 00:00:00+00,Samuel Billings Center,,,,485,1460799.000231,529472.000231,Public Art,,,,,,Richard Hallier,Samuel Billings,,,,20000,,,,County
1448507.00005764,541054.000105724,118,516,2015/07/08 00:00:00+00,Charlotte Convention Center,,,,486,1448507,541054,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_796.jpg,,,,,James Carpenter,Oculus Reflector,,,,300000,,1,,City
1448922.9998818,541451.999965891,119,517,2015/07/08 00:00:00+00,Charlotte Convention Center,,,,487,1448923,541452,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_797.jpg,,,,,Richard Lippold,Homage to North Carolina,,1,,,,1,,City
1448621.00015771,541161.999889731,120,518,2015/07/08 00:00:00+00,Charlotte Convention Center,,,,488,1448621,541162,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_798.jpg,,,,,Jim Biggers,Celebration,,,,17000,,1,,City
1448715.99996772,541263.00001581,121,519,2015/07/08 00:00:00+00,Charlotte Convention Center,,,,489,1448716,541263,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_799.jpg,,,,,Juan Logan,I've Known Rivers,,,,17000,,1,,City
1449032.99998988,540911.000063643,122,520,2015/07/08 00:00:00+00,Charlotte Convention Center,,,,490,1449033,540911,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_800.jpg,,,,,Paul Rousso,Home Movie,,,,17000,,1,,City
1448715.99996772,541266.000009805,123,521,2015/07/08 00:00:00+00,Charlotte Convention Center,,,,491,1448716,541266,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_801.jpg,,,,,Ruth Ava Lyons,The Goodiest Land,,,,17000,,1,,City
1448735.99992771,541306.999927804,124,522,2015/07/08 00:00:00+00,Charlotte Convention Center,,,,492,1448736,541307,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_802.jpg,,,,,T.J. Reddy,Remembrances of Charlotte's Second Ward: Brooklyn and Blue Haven,,,,17000,,1,,City
1448921.00021389,540885.000115648,125,523,2013/09/18 00:00:00+00,Charlotte Convention Center,,,,493,1448921.000231,540885.000231,Public Art,,,,,,T.J. Reddy,Remebrances of charlotte's Second Ward: Brooklyn and Blue Heaven,,3,,17000,,1,City of Charlotte,City
1450233.99988447,543588.99995698,126,524,2013/06/27 00:00:00+00,Discovery Place OmniMax Theatre,,,,494,1450234,543589,Public Art,,,,,,Paul Matisse,Sixteen Bells,,,,55000,,1,,City
1478899.99996705,569750.000128314,127,525,2013/06/27 00:00:00+00,University Place Public Library,,,,495,1478900,569750,Public Art,,,,,,Jon Kuhn,Cubic Harmony,,3,Public Library of Charlotte/Mecklenburg cou,13000,,1,City of Charlotte,County
1449856.00031239,542556.000382558,128,526,2015/07/08 00:00:00+00,North Carolina Blumenthal Performing Arts Center,,,,496,1449856.000231,542556.000231,Public Art,http://maps.charlottenc.gov/static/images/Hardscape/PF_Photo_803.jpg,,,,,Mary Shaffer,Center-Light,,,,140000,,1,,City
1451797.00036739,553256.839873224,129,527,2013/09/13 00:00:00+00,Mecklenburg County Police Department,,,,497,1451797.000231,553256.84,Public Art,,,,,,John Silla,Untitled,,,,2000,,1,,County
1460797.00008389,530436.000344396,130,528,2013/06/27 00:00:00+00,Tom Ray Center,,,,498,1460797.000231,530436.000231,Public Art,,,,,,The Light Factory c/o John Ciarlante,Untitled,,,,2950,,1,,County
1450272.00013655,539109.000058725,131,529,2013/06/27 00:00:00+00,Mecklenburg Aquatic Center,,,,499,1450272,539109,Public Art,,,,,,John Young,Aquatic Vectors,,,,45000,,2,,County
1478741.99995497,562629.999932647,132,530,2013/06/27 00:00:00+00,Reedy Creek Park,,,,500,1478742,562630,Public Art,,,,,,J. Paul sires,Flat Rock Pine,,,,22000,,2,,County
1455261.99999905,515019.000010476,133,531,2013/06/27 00:00:00+00,Morrison Regional Library,,,,501,1455262,515019,Public Art,,,,,,Ida Kohlmeyer,Semiotic Construct #1,,,,18000,,,,County
