OBJECTID_1,OBJECTID,Id,GridID,Score,ShapeSTArea,ShapeSTLength
1224,1068,0,1726,1,6969599.83808,10559.9998773333
1225,612,0,1191,3,6969599.83808,10559.9998773333
1226,173,0,610,2,6969599.83808,10559.9998773333
1227,2315,0,4028,4,6969600.70421999,10560.0005335
1228,1670,0,2561,1,6969599.83808,10559.9998773333
1229,783,0,1406,4,6969599.83808,10559.9998773333
1230,1249,0,1941,4,6969600.70421999,10560.0005335
1231,1963,0,3095,2,6969599.83808,10559.9998773333
1232,2191,0,3672,2,6969599.83808,10559.9998773333
1233,6,0,84,1,6969599.83808,10559.9998773333
1234,424,0,962,2,6969600.70421999,10560.0005335
1235,2235,0,3791,3,6969599.83808,10559.9998773333
1236,39,0,312,3,6969600.70421999,10560.0005335
1237,2065,0,3334,0,6969599.83808,10559.9998773333
1238,204,0,664,2,6969599.83808,10559.9998773333
1239,277,0,771,2,6969600.70421999,10560.0005335
1240,1070,0,1728,0,6969599.83808,10559.9998773333
1241,1065,0,1723,0,6969599.83808,10559.9998773333
1242,1197,0,1878,4,6969599.83808,10559.9998773333
1243,1114,0,1778,1,6969600.70421999,10560.0005335
1244,1461,0,2230,3,6969599.83808,10559.9998773333
1245,275,0,769,3,6969599.83808,10559.9998773333
1246,1124,0,1788,0,6969599.83808,10559.9998773333
1247,338,0,847,2,6969599.83808,10559.9998773333
1248,1267,0,1959,0,6969599.83808,10559.9998773333
1249,1415,0,2166,3,6969600.70421999,10560.0005335
1250,1923,0,2996,2,6969600.70421999,10560.0005335
1251,1981,0,3147,3,6969599.83808,10559.9998773333
1252,625,0,1204,0,6969599.83808,10559.9998773333
1253,1851,0,2870,1,6969599.83808,10559.9998773333
1254,1173,0,1845,0,6969599.83808,10559.9998773333
1255,971,0,1618,1,6969599.83808,10559.9998773333
1256,1944,0,3045,2,6969599.83808,10559.9998773333
1257,1962,0,3094,2,6969599.83808,10559.9998773333
1258,750,0,1363,4,6969599.83808,10559.9998773333
1259,270,0,764,1,6969599.83808,10559.9998773333
1260,405,0,943,5,6969600.70421999,10560.0005335
1261,1416,0,2167,2,6969600.70421999,10560.0005335
1262,249,0,728,2,6969599.83808,10559.9998773333
1263,570,0,1140,2,6969600.70421999,10560.0005335
1264,231,0,707,1,6969599.83808,10559.9998773333
1265,562,0,1132,3,6969599.83808,10559.9998773333
1266,1918,0,2991,0,6969599.83808,10559.9998773333
1267,1779,0,2742,0,6969599.83808,10559.9998773333
1268,1330,0,2048,2,6969599.83808,10559.9998773333
1269,2070,0,3339,0,6969599.83808,10559.9998773333
1270,1370,0,2104,2,6969599.83808,10559.9998773333
1271,1559,0,2386,1,6969599.83808,10559.9998773333
1272,1879,0,2925,2,6969599.83808,10559.9998773333
1273,927,0,1574,0,6969599.83808,10559.9998773333
1274,58,0,371,3,6969599.83808,10559.9998773333
1275,916,0,1556,0,6969600.70421999,10560.0005335
1276,339,0,848,2,6969599.83808,10559.9998773333
1277,1854,0,2873,2,6969599.83808,10559.9998773333
1278,1807,0,2795,2,6969600.70421999,10560.0005335
1279,2159,0,3566,0,6969599.83808,10559.9998773333
1280,1185,0,1866,2,6969599.83808,10559.9998773333
1281,1872,0,2918,2,6969599.83808,10559.9998773333
1282,1769,0,2708,2,6969599.83808,10559.9998773333
